121.232.148.141	9000
61.145.194.28	8080
121.232.145.120	9000
119.5.0.52	22
119.5.0.20	22
180.118.128.247	9000
119.5.1.17	22
118.193.107.80	80
221.4.133.67	53281
119.5.0.42	22
121.232.147.143	9000
223.223.187.195	80
119.167.153.50	8118
121.232.147.143	9000
118.193.107.28	80
180.118.73.3	9000
121.232.145.215	9000
101.4.136.34	8080
222.169.193.162	8099
121.232.145.160	9000
121.232.144.168	9000
121.232.146.101	9000
223.241.118.17	8010
121.40.164.232	8118
121.232.146.41	9000
223.223.187.195	80
121.232.146.44	9000
119.5.1.8	22
180.118.93.212	9000
180.118.32.58	9000
125.67.74.99	9000
121.232.146.156	9000
117.90.3.33	9000
121.232.146.220	9000
111.13.7.42	83
121.232.147.140	9000
121.232.147.24	9000
121.232.145.140	9000
171.92.52.2	9000
27.203.131.118	53281
110.73.11.16	8123
60.178.136.28	8081
121.232.145.147	9000
182.92.156.85	8118
182.129.240.80	9000
117.83.76.232	8090
112.0.142.210	8123
111.10.182.63	8123
183.185.76.209	8090
61.156.235.172	8080
113.78.30.18	8090
27.41.114.4	8090
115.218.211.65	9000
101.207.28.147	8090
112.95.85.206	8090
116.209.97.231	9000
117.84.37.137	8090
111.193.53.220	8090
221.203.148.151	8090
182.201.175.235	8090
